epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9776,1.99188,3.15525,1.49865,0.03444,0.90385,0.13049,0.05553,1.62635,3.03982,1.19012,0.0001,0.0001,0.0001
2,44.8276,1.50571,2.67347,1.13131,0.04069,0.99231,0.57979,0.31718,1.38811,2.83851,1.00273,0.000217822,0.000217822,0.000217822
3,65.2951,1.4303,2.00382,1.06352,0.03819,0.98846,0.68477,0.34892,1.28805,2.82767,0.97872,0.000333268,0.000333268,0.000333268
4,82.6404,1.38406,1.55735,1.06456,0.03682,0.96923,0.56407,0.30912,1.24368,2.79234,0.97326,0.000446338,0.000446338,0.000446338
5,103.621,1.35783,1.22338,1.06323,0.03742,0.99231,0.46563,0.27623,1.26763,2.65869,0.9936,0.000557032,0.000557032,0.000557032
6,121.983,1.36866,1.06339,1.11132,0.04217,0.97692,0.50544,0.30449,1.2691,2.60968,1.00756,0.00066535,0.00066535,0.00066535
7,142.253,1.3704,1.00409,1.13004,0.0371,0.98462,0.56489,0.33769,1.29414,2.54484,1.02086,0.000771292,0.000771292,0.000771292
8,163.113,1.33875,0.9464,1.11621,0.96898,0.12016,0.69459,0.41107,1.31477,2.40143,1.01144,0.000874858,0.000874858,0.000874858
9,181.077,1.32798,0.94347,1.09249,0.96885,0.23925,0.87337,0.52244,1.35203,2.15389,1.01799,0.000976048,0.000976048,0.000976048
10,201.506,1.31016,0.89782,1.08862,0.94855,0.35454,0.91103,0.53212,1.30627,2.02304,0.99553,0.00107486,0.00107486,0.00107486
11,219.508,1.27309,0.87095,1.06351,0.92714,0.63621,0.90961,0.5279,1.32158,1.77592,1.00639,0.0011713,0.0011713,0.0011713
12,239.499,1.3422,0.84113,1.07391,0.94766,0.83559,0.96675,0.56456,1.34479,1.63991,1.03245,0.00126536,0.00126536,0.00126536
13,259.715,1.29988,0.87664,1.07958,0.95294,0.93457,0.96775,0.57569,1.30509,1.40696,0.99907,0.00135705,0.00135705,0.00135705
14,277.905,1.25612,0.82865,1.04669,0.91622,0.84124,0.92523,0.5215,1.38186,1.45988,1.06032,0.00144636,0.00144636,0.00144636
15,298.975,1.27184,0.8334,1.07673,0.92075,0.849,0.94746,0.5639,1.32405,1.366,1.03111,0.00153329,0.00153329,0.00153329
16,320.019,1.27162,0.8072,1.07552,0.96771,0.95385,0.98602,0.61064,1.30016,1.07284,1.0313,0.00161785,0.00161785,0.00161785
17,343.196,1.26846,0.8181,1.0829,0.92995,0.95,0.97875,0.59009,1.3543,1.05914,1.0806,0.0016832,0.0016832,0.0016832
18,368.079,1.27686,0.8063,1.07815,0.9057,0.95,0.97267,0.59363,1.27925,0.99322,1.02734,0.0016634,0.0016634,0.0016634
19,388.951,1.2575,0.80855,1.08229,0.95438,0.94615,0.98507,0.59864,1.30038,0.94373,1.02842,0.0016436,0.0016436,0.0016436
20,407.233,1.23174,0.76993,1.06269,0.98074,0.979,0.99143,0.5804,1.38121,0.87491,1.10076,0.0016238,0.0016238,0.0016238
21,428.636,1.29744,0.81125,1.08461,0.98824,0.96922,0.99265,0.61154,1.32323,0.79673,1.06724,0.001604,0.001604,0.001604
22,453.232,1.24327,0.77539,1.05482,0.97551,0.96923,0.98814,0.62132,1.26402,0.74179,1.01763,0.0015842,0.0015842,0.0015842
23,473.267,1.2226,0.76,1.05173,0.97701,0.98055,0.98997,0.63701,1.25769,0.74448,1.03187,0.0015644,0.0015644,0.0015644
24,495.167,1.27823,0.79943,1.09516,0.96591,0.98095,0.9911,0.63597,1.2535,0.78804,1.03107,0.0015446,0.0015446,0.0015446
25,517.155,1.2037,0.75457,1.04314,0.97255,0.98077,0.98994,0.63358,1.27215,0.75746,1.03837,0.0015248,0.0015248,0.0015248
26,536.309,1.18591,0.73443,1.04682,0.9957,0.98462,0.99411,0.63791,1.2574,0.68053,1.03562,0.001505,0.001505,0.001505
27,558.037,1.19269,0.72483,1.04091,0.98292,0.97692,0.98932,0.62622,1.25651,0.68121,1.02967,0.0014852,0.0014852,0.0014852
28,581.83,1.20584,0.74874,1.05028,0.9744,0.97308,0.98799,0.63308,1.26386,0.69656,1.03556,0.0014654,0.0014654,0.0014654
29,602.917,1.17209,0.70896,1.01851,0.95632,0.97692,0.9893,0.64125,1.27089,0.70634,1.03884,0.0014456,0.0014456,0.0014456
30,625.873,1.16814,0.69873,1.03309,0.97167,0.97692,0.99252,0.64092,1.26548,0.69823,1.03947,0.0014258,0.0014258,0.0014258
31,648.263,1.18192,0.69709,1.04538,0.96405,0.97692,0.99078,0.63507,1.27095,0.69374,1.04134,0.001406,0.001406,0.001406
32,667.659,1.21704,0.70638,1.05535,0.98841,0.984,0.99367,0.64721,1.25503,0.65647,1.03595,0.0013862,0.0013862,0.0013862
33,689.487,1.21521,0.69367,1.03399,0.99198,0.99231,0.99477,0.64633,1.25687,0.64902,1.03694,0.0013664,0.0013664,0.0013664
34,713.233,1.21957,0.69362,1.04403,0.99225,0.98489,0.99396,0.6577,1.25003,0.62949,1.03767,0.0013466,0.0013466,0.0013466
35,733.095,1.19169,0.68811,1.04569,0.99225,0.98461,0.99481,0.65686,1.24364,0.62799,1.02615,0.0013268,0.0013268,0.0013268
36,756.48,1.19546,0.68502,1.02966,0.98462,0.98519,0.99416,0.64031,1.27204,0.63723,1.05415,0.001307,0.001307,0.001307
37,778.126,1.19113,0.66677,1.05916,0.9867,0.98846,0.99477,0.64124,1.24406,0.63483,1.04468,0.0012872,0.0012872,0.0012872
38,798.903,1.1744,0.66667,1.04215,0.98838,0.98179,0.99462,0.64344,1.2449,0.62366,1.0289,0.0012674,0.0012674,0.0012674
39,819.974,1.15619,0.66034,1.02683,0.99608,0.98846,0.99489,0.65449,1.22191,0.62531,1.01979,0.0012476,0.0012476,0.0012476
40,840.114,1.15003,0.6554,1.02135,0.99613,0.99035,0.99496,0.66572,1.2067,0.60845,1.01687,0.0012278,0.0012278,0.0012278
41,857.506,1.12127,0.63023,1.00578,0.99237,0.99231,0.99492,0.65533,1.22601,0.61184,1.03322,0.001208,0.001208,0.001208
42,877.319,1.12821,0.63757,1.02356,0.99182,0.98846,0.99403,0.64945,1.2271,0.60317,1.02964,0.0011882,0.0011882,0.0011882
43,895.073,1.1481,0.64935,1.02734,0.99249,0.98846,0.99492,0.64043,1.22024,0.59346,1.02473,0.0011684,0.0011684,0.0011684
44,915.09,1.16347,0.64305,1.02973,0.99463,0.99231,0.99496,0.64912,1.21821,0.59503,1.01739,0.0011486,0.0011486,0.0011486
45,934.714,1.11876,0.64194,1.02752,1,0.98391,0.99492,0.64343,1.21933,0.5919,1.01893,0.0011288,0.0011288,0.0011288
46,952.233,1.10309,0.6169,1.01258,0.99563,0.99231,0.99492,0.65134,1.21135,0.59958,1.02295,0.001109,0.001109,0.001109
47,972.681,1.12266,0.63896,1.01451,0.9916,0.99231,0.99477,0.64931,1.20735,0.59454,1.01734,0.0010892,0.0010892,0.0010892
48,990.57,1.09893,0.61638,1.01727,0.99126,0.98846,0.99473,0.63934,1.22916,0.59467,1.01993,0.0010694,0.0010694,0.0010694
49,1010.5,1.10483,0.62034,1.01159,0.99233,0.99459,0.99496,0.64706,1.22983,0.58492,1.02784,0.0010496,0.0010496,0.0010496
50,1030.45,1.10788,0.623,1.01239,0.9969,0.98462,0.99489,0.65935,1.20907,0.57762,1.01377,0.0010298,0.0010298,0.0010298
